Title,Year,Pages,Notes,id
Sowing Beside All Waters.,1912,80 p.,"NOTE: ""selected from the manuscripts and published writings of Mrs. Ellen G. White""; subtitled An Appeal For Setting In Operation All The Working Agencies In The Church.",462
Sowing Beside All Waters.,,,"NOTE: Special Testimonies, Series A, no. 10; differs from preceding pamphlet with the same name.",463
Special Instruction Regarding Royalties.,1899,22 p.,,464
Special Instruction Relating To The Review And Herald Office And The Work In Battle Creek.,1896,51 p.,,465
Special On Tithing.,,20 p.,,466
Special Testimonies Concerning The Work And Workers In The Pacific Press.,1897,51 p.,,467
"Special Testimonies For Ministers And Workers, no. 4.",1895,25 p.,"NOTE: Special Testimonies, Series A, no. 4; preliminary page signed by O. A. Olsen; includes the following from Ellen G. White's writings: Avondale, Cooranbong, N.S.W., Australia, Sept. 1, 1895; Avondale, Cooranbong, N.S.W., Australia, Aug. 28, 1895; Proper Education, 1895; Granville, N.S.W., Australia, Sept. 13, 1895.",468
"Special Testimonies For Ministers And Workers, no. 5.",1896,20 p.,"NOTE: Special Testimonies, Series A, no. 5; preliminary pages signed by O. A. Olsen; the following sections from Ellen G. Whites writings are titled: The Character Of Our Work; Proper Methods In Labor; Correct Principles; Our Duty To Extend The Work; The Evil Of Long Sermons; The Manifest Working Of The Holy Spirit At Battle Creek College; Knowing God; Qualifications Essential For The Work Of God.",469
"Special Testimonies For Ministers And Workers, no. 6.",1896,67 p.,"NOTE: Special Testimonies, Series A, no. 6; preliminary pages signed by O. A. Olsen; includes the following from Ellen G. White's writings: Need Of Spiritual Discernment, 1891; To Brethren Who Occupy Responsible Positions In The Work, 1896; Responsibility Of A Connection With God's Work, 1896; Proper Methods Of Work In The Southern Field, 1895; Need Of Divine Guidance, 1888; Important Principles, 1885; Danger Of Undue Personal Responsibilities, 1886.",470
"Special Testimonies For Ministers And Workers, no. 7.",1897,64 p.,"NOTE: Special Testimonies, Series A, no. 7; preliminary page signed by O. A. Olsen; includes the following from Ellen G. White's writings: Methods Of Labor, 1874; A Faithful Tithe, 1896; The True Higher Education, 1896; Importance Of The Right Example On The Part Of Laborers, 1896; Practical Instruction, 1896; Extracts From Recent Communications.",471
"Special Testimonies For Ministers And Workers, no. 8.",1897,32 p.,"NOTE: Special Testimonies, Series A, no. 8; preliminary page signed by O. A. Olsen; includes the following from Ellen G. White's writings: Individual Responsibility, 1896; The General Conference, 1896; Conference Officers, 1896.",472
"Special Testimonies For Ministers And Workers, no. 9.",1897,80 p.,"NOTE: Special Testimonies, Series A, no. 9; preliminary pages signed by General Conference Committee; includes the following from Ellen G. White's writings: All Ye Brethren, 1895; Thou Shalt Have No Other Gods Before Me, 1895; Sept. 24, (1895); God To Be Inquired Of, 1896; The Lord Has A Controversy With His People, 1895; Give Me Thine Heart, 1896; Ministers And Business Matters, 1896; God's Claims On His Stewards, 1896; The Preciousness Of Christ To His Followers, 1896.",473
"Special Testimonies For Ministers And Workers, no. 10.",1897,39 p.,"NOTE: Special Testimonies, Series A, no. 10; preliminary page signed by [General Conference] Committee; includes the following from Ellen G. White's writings: Lines Of Mission Work, 1897; Sowing Beside All Waters; Self-denial And Support Of The Ministry, 1897; Holy Spirit Versus Selfishness, 1896; Extracts From A Recent Communication.",474
"Special Testimonies For Ministers And Workers, no. 11.",1898,32 p.,"NOTE: Special Testimonies, Series A, no. 11; preliminary page signed by [General Conference] Committee; includes the following from Ellen G. White's writings: God's Messengers, 1897; Appeal To Ministers, 1898; Special Testimony To Brethren In Battle Creek, 1898; Solemn Admonitions, 1897.",475
Special Testimonies On Church Schools.,1898,44 p.,"NOTE: cover title: Home, Church, And State Schools, with an announcement of the Union College Normal and Commercial courses.",476
Special Testimonies On Education.,1897,240 p.,"NOTE: reprinted in Counsels To Teachers, Parents, And Students and Fundamentals Of Christian Education.",477
Special Testimonies Relating To Medical Missionary Work.,1893,8 p.,,478
Special Testimonies Relating To Various Matters In Battle Creek.,1894,24 p.,"NOTE: includes Second Letter, Extract From Other Letters, Admonition And Caution, and An Extract.",479
Special Testimonies. Series A.,,,"SEE Special Testimonies To Ministers And Workers, Series A.",480
Special Testimonies. Series B.,1903-1913,750 p.,NOTE: 19 pamphlets varying in size issued to meet special situations.,481
Special Testimonies To Ministers And Workers. Series A.,1892-1905,12 v.,NOTE: 11 pamphlets of special messages from Mrs. White to president of General Conference; called Series A after issuance of Series B; no. 12 is unrelated to the others; later reprinted in Testimonies To Ministers and Gospel Workers.,482
"Special Testimonies To Minister And Workers, no. 3.",1895,62 p.,"NOTE: Special Testimonies, Series A, no. 3; preliminary pages signed by O. A. Olsen; includes the following from Ellen G. White's writings: Economy to Be Practiced In All Things, 1892; Improvement In the Work, 1894; Idleness, 1894; The Spirit Of Jesus, 1894; Manner Of Laboring, 1894; Christian Courtesy, 1895; Receiving Gifts, 1895; Solemn Times, 1895; Activity In Our Churches, 1895; Direct Dependence On God, 1895; Observance Of The Sabbath, 1895; Important Instruction, 1894.",483
"Special Testimony For Our Ministers, no. 1.",1892,40 p.,"NOTE: Special Testimonies, Series A, no. 1; includes the following from Ellen G. White's writings: To Brethren In Responsible Positions, 1890; Existing Evils And Their Remedy, 1890; Personal Devotion Sadly Neglected; The Work of Faith; The Crisis Imminent, 1892.",484
"Special Testimony For Our Ministers, no. 1, 2nd ed.",,70 p.,"NOTE: Special Testimonies, Series A, no. 1, 2nd ed.; bound with no. 2, 2nd. ed., 146 p., with an index plus Our Duty To The Colored People; includes the following from Ellen G. White's writings: To Brethren In Responsible Positions, 1890; Existing Evils And Their Remedy, 1890; Personal Devotion Sadly Neglected; The Work Of Faith; The Crisis Imminent, 1892.",485
Special Testimony For The Battle Creek Church.,1869,32 p.,,486
"Special Testimony On Canvassing For ""Christ's Object Lessons.""",,7 p.,,487
Special Testimony Relating To Politics.,1899,12 p.,"NOTE: included in Fundamentals Of Christian Education, pp. 475-484.",488
Special Testimony Relative To Tract And Missionary Societies And Our Preachers.,1881?,28p.,,489
Special Testimony To Battle Creek Church.,1896,64 p.,"NOTE: includes, Will A Man Rob God?; Danger Of Rejecting Truth, 1896; A Truthful Message, 1895; Let Him That Thinketh He Standeth Take Heed Lest He Fall; Extracts from a communication entitled 'Missionary Work At Home And Abroad', 1895 (recopied 1896); [Foreword] by O. A. Olsen; included in Testimonies To Ministers and Testimonies For The Church, v. 8..",490
Special Testimony To Battle Creek Church.,1897,10 p.,NOTE: subtitled: Will A Man Rob God?,491
Special Testimony To Battle Creek Church.,1898,48 p.,"NOTE: includes: Forgetfulness, 1897; True Education In Our Churches, 1898; Church Schools, 1897.",492
Special Testimony To Brethren In Battle Creek.,,,SEE Special Testimony To The Brethren In Battle Creek.,493
"Special Testimony To Our Ministers, no. 2.",1892,31 p.,"NOTE: Special Testimonies, Series A, no. 2; first and last articles by O. A. Olsen; includes the following from Ellen G. White's writings: Reasons For Inefficiency And The Remedy, 1892; Need Of Divine Power And Wisdom, 1892; Return To The First Love, 1892; The Power Of The Holy Spirit Awaits Our Demand And Reception, 1891.",494
"Special Testimony To Our Ministers, no. 2, 2nd ed.",,,"NOTE: Special Testimonies, Series A, no. 2, 2nd ed.; first article by O. A. Olsen; includes the following from Ellen G. White's writings: Reasons For Inefficiency And The Remedy, 1892; Need Of Divine Power And Wisdom, 1892; Return To The First Love, 1892; The Power Of The Holy Spirit Awaits Our Demand And Reception, 1891; Danger In Adopting Worldly Policy In the Work Of God; and quotations from Christian Temperance.",495
Special Testimony To The Battle Creek Church.,1892,24 p.,,496
Special Testimony To The Brethren In Battle Creek.,1898,14 p.,"NOTE: Special Testimonies, Series A, no. 11; includes An Appeal To Our Brethren In Battle Creek; title also occurs as Special Testimony To Brethren In Battle Creek.",497
Special Testimony To The Managers And Workers In Our Institutions.,1898,24 p.,,498
Special Testimony To The Oakland And Battle Creek Churches.,1897,30 p.,,499
Spirit Of Jesus.,1894,,"NOTE: Special Testimonies, Series A, no. 3.",500
Spirit Of Prophecy.,1870-1884,4 v.,"NOTE: individual volumes have separate titles:
v. 1 The Great Controversy Between Christ And His Angels And Satan And His Angels.
v. 2 The Great Controversy Between Christ And Satan. Life, Teachings, And Miracles Of Our Lord Jesus Christ.
v. 3 The Great Controversy Between Christ And Satan. The Death, Resurrection, And Ascension Of Our Lord Jesus Christ.
v. 4 The Great Controversy Between Christ And Satan. From Destruction Of Jerusalem To The End Of The Controversy.",501
Spirit Of Prophecy Counsels Relating To Church-State Relationships.,1964,196 p.,NOTE: a compilation.,502
Spirit Of Sacrifice.,1913,40 p.,"NOTE: Special Testimonies, Series B, no. 19.",503
Spiritual Advancement The Object Of Camp Meetings.,1897,48 p.,"NOTE: cover title, Our Camp-meetings; also includes Manner Of Conducting Campmeetings and Prayer For The Sick.",504
Spiritual Gifts.,1858-1864,4 v.,"NOTE: individual volumes have separate titles:
v. 1 The Great Controversy Between Christ And His Angels And Satan And His Angels.
v. 2 My Christian Experience, Views, And Labors In Connection With The Rise And Progress Of The Third Angel's Message.
v. 3 Important Facts Of Faith In Connection With The History Of Holy Men Of Old.
v. 4 Important Facts Of Faith: Laws Of Health, And Testimonies, Nos. 1-10.",505
Statement And Appeal.,1904,32 p.,"NOTE: about moving church headquarters to Washington, D.C.; portions written by Ellen G. White.",506
"Statement On The Use Of Drugs, From The Writings Of Mrs. E. G. White.",,2 p.,,507
Steps To Christ.,1892,153 p.,,508
Steps To Jesus.,1981,125 p.,NOTE: simplified version of Steps To Christ.,509
Stories Jesus Told.,1986,,NOTE: condensed version of Christ's Object Lessons.,510
Story Of Jesus.,,,SEE Christ Our Savior.,511
Story Of Patriarchs And Prophets.,1890,762 p.,"NOTE: subtitled The Great Conflict Between Good And Evil As Illustrated In The Lives Of Holy Men Of Old; amplification of material from Spiritual Gifts, v. 1, 3, and 4 and Spirit Of Prophecy, v. 1; short-lived edition (1890) entitled, The Great Controversy Between Christ And Satan As Illustrated In The Lives Of Patriarchs And Prophets; (Conflict Of The Ages Series, v. 1).",512
Story Of Prophets And Kings As Illustrated In The Captivity And Restoration Of Israel.,1917,753 p.,"NOTE: originally issued under title, The Captivity And Restoration Of Israel; (Conflict Of The Ages Series, v. 2).",513
Story Of Redemption.,1947,445 p.,"NOTE: from Spirit Of Prophecy, vols. 1, 3, and 4, Early Writings, and one periodical article.",514
Study For The Young.,,,SEE Recreation.,515
Sufferings Of Christ.,,31 p.,"NOTE: articles from Signs Of The Times, November 25, December 9, 1875; (Bible Students' Library, no. 14).",516
Sufferings Of Christ.,,47 p.,"NOTE: reprint of 4 articles published in the Signs Of The Times, August 1879.",517
"Sufferings Of Christ, His Trial And Crucifixion.",1877,96 p.,"NOTE: subtitle of Redemption, no. 5.",518
Suggestions To Those Holding Missionary Conventions.,1903,23 p.,NOTE: includes A Call To Service by Ellen G. White; (Bible Students' Library no. 181).,519
Supplement To Christian Education.,,31 p.,,520
Supplement To The Christian Experience And Views Of Ellen G. White.,1854,48 p.,NOTE: supplement to A Sketch Of The Christian Experience And Views Of Ellen G. White; reprinted in 1882 with A Sketch Of The Experience And Views Of Mrs. E. G. White and included in Early Writings.,521
Teachings Of Christ The Anointed One.,1877,128 p.,"NOTE: subtitle of Redemption, no. 4.",522
Teachings Of Paul And His Mission To The Gentiles.,1878,80 p.,"NOTE: subtitle of Redemption, no. 8.",523
Temperance Work.,1908,8 p.,,524
Temptation Of Christ In The Wilderness.,1874,96 p.,"NOTE: subtitle of Redemption, no. 2.",525
Testimonies And Experiences Connected With The Loma Linda Sanitarium And College Of Medical Evangelists.,1905,40 p.,"NOTE: portions by Ellen G. White; (Medical Evangelistic Library, no. 4).",526
Testimonies And Experiences Connected With The Loma Linda Sanitarium And College Of Medical Evangelists.,1906,48 p.,"NOTE: portions by Ellen G. White; (Medical Evangelistic Library, no. 5).",527
Testimonies For The Church.,1885-1909,9 v.,SEE ALSO same title below by volume number..,528
"Testimonies For The Church, v. 1.",1885,758 p.,"NOTE: numbers 1 to 14, from 1855 to 1868.",529
"Testimonies For The Church, v. 2.",1885,764 p.,"NOTE: numbers 15 to 20, from 1868 to 1871.",530
"Testimonies For The Church, v. 3.",1885,627 p.,"NOTE: numbers 21 to 25, from 1872 to 1875.",531
"Testimonies For The Church, v. 4.",1885,731 p.,"NOTE: numbers 26 to 30, from 1876 to 1881.",532
"Testimonies For The Church, v. 5.",1889,826 p.,"NOTE: numbers 31 to 33, from 1882-1889.",533
"Testimonies For The Church, v. 6.",1900,534 p.,NOTE: number 34.,534
"Testimonies For The Church, v. 7.",1902,337 p.,NOTE: number 35.,535
"Testimonies For The Church, v. 8.",1904,372 p.,NOTE: number 36.,536
"Testimonies For The Church, v. 9.",1909,325 p.,NOTE: number 37.,537
Testimonies For The Church Containing Letters To Physicians And Ministers.,1904,59 p.,"NOTE: Special Testimonies, series B, no. 2, 1st. ed. (pub. for author); subtitled: Giving Messages Of Warning And Words Of Counsel And Admonition Regarding Our Present Situation; 2nd ed. entitled, Letters To Physicians And Ministers.",538
Testimonies For The Church Containing Messages Of Warning And Instruction To Seventh-day Adventists.,1906,64 p.,"NOTE: Special Testimonies, Series B, no. 7; ""regarding dangers connected with the medical missionary work.""",539
Testimonies For The Church Regarding The Spirit Of Unity.,1905,78 p.,"NOTE: Special Testimonies, Series B, no. 4; ""that should be maintained in the International Publishing Association and among laborers of all nationalities in the Lord's harvest field.""",540
Testimonies On Fair Dealings And Book Royalties.,,32 p.,"NOTE: ""a compilation from manuscripts and published articles.""",541
Testimonies On Sabbath-School Work.,1900,128 p.,NOTE: also titled Selections From The Testimonies Bearing On Sabbath School Work; revised and amplified in 1938 and called Counsels On Sabbath School Work.,542
"Testimonies On Sexual Behavior, Adultery, And Divorce: A Compilation From The Writings Of Ellen G. White.",1989,270 p.,,543
Testimonies On The Case Of Elder E. P. Daniels.,1890,80 p.,NOTE: letters to E. P. Daniels from Ellen G. White written from 1886-1889.,544
Testimonies Rejected.,,,SEE Testimony For The Battle Creek Church.,545
Testimonies Relating To Emmanuel Missionary College And Its Work.,,16 p.,,546
"Testimonies Respecting Publishing Houses, Authors, And Royalties.",,,NOTE: from other published sources.,547
Testimonies To Ministers And Gospel Workers.,1923,544 p.,"NOTE: originally published in Special Testimonies, Series A and B.",548
Testimonies To Southern Africa.,1977,98 p.,,549
Testimonies To The Church.,1871-79,6 v. (nos. 1-28).,NOTE: mostly contains same material as first 4 volumes of Testimonies For the Church.,550
Testimonies To The Church Regarding Individual Responsibility And Christian Unity.,1907,39 p.,"NOTE: Special Testimonies, Series B, no. 9.",551
Testimonies To The Church Regarding Our Youth Going To Battle Creek To Obtain an Education.,1905,64 p.,"NOTE: Special Testimonies, Series B, no. 6; ""being extracts from addresses published in the General Conference Bulletin, from articles published in the Advent Review and Sabbath Herald, and from many letters to physicians and ministers.""",552
Testimonies To The Church Regarding The Strengthening Of Our Institutions And Training Centers And A Plea For Medical Missionary Evangelists.,1907,32 p.,"NOTE: Special Testimonies, Series B, no. 8.",553
Testimony For The Battle Creek Church.,1882,84 p.,"NOTE: includes: Our College (1881), Important Testimony (1882), The Testimonies Rejected (1882), Workers In Our College -- Extracts From Previous Testimonies (1881); reprinted in Testimonies For The Church, v. 5.",554
Testimony For The Church.,1855-89,33 issues.,"SEE ALSO Testimonies To the Church, 1871-79 and Testimonies For the Church, vols. 1-9.",555
Testimony For The Church At Battle Creek.,1868,62 p.,,556
"Testimony For The Church At Olcott, N.Y.",1868,24 p.,,557
Testimony For The Churches At Allegan And Monterey.,1869,46 p.,,558
Testimony For The Physicians And Helpers Of The Sanitarium.,1879,94 p.,"NOTE: reprinted in Testimonies For The Church, v. 4.",559
Testimony Relative To Marriage Duties And Extremes Of Health Reform.,1869,27 p.,,560
Testimony Studies On Diet And Food.,,,SEE Counsels On Diet And Foods.,561
Testimony To An Aged Sister.,1914,4 p.,"NOTE: from Testimonies To Ministers, pp. 516-520.",562
Testimony To The Brethren In Western New York.,1875,32 p.,,563
"Testimony To The Church (no. 21, private).",1872,220 p.,,564
Testimony To The Church At Battle Creek.,1872,116 p.,,565
"Testimony Treasures, v.1-3.",1949,1771 p.,NOTE: drawn largely from Testimonies For The Church.,566
That I May Know Him.,1964,382 p.,NOTE: devotional book.,567
That Other Angel.,1973,64 p.,NOTE: selected from Colporteur Ministry.,568
There Is Help In God.,1898,8 p.,"NOTE: (Apples of Gold Library, no. 56).",569
This Day With God.,1979,384 p.,NOTE: devotional book.,570
Thou Shalt Have No Other Gods Before Me.,1895,,"NOTE: Special Testimonies, Series A, no. 9.",571
Thoughts From The Mount Of Blessing.,1896,205 p.,,572
Thy Saving Health.,,,NOTE: from other published sources.,573
The Time And The Work.,1919,31 p.,"NOTE: ""compiled from the writings, published and unpublished, of Mrs. E. G. White, by the Atlantic Union Conference Committee, in the interest of Home Missionary Work""; revised in 1935 (Home Missionary Series leaflet, no. 14), 32 p.",574
Tithing And Our Relation To It As Set Forth In The Testimonies.,,15 p.,NOTE: from other published sources; compiled by D. P. Wood.,575
To Brethren In Responsible Positions.,1890,,"NOTE: Special Testimonies, Series A, no. 1; also no. 1, 2nd ed.",576
To Brethren Who Occupy Responsible Positions In The Work.,1896,,"NOTE: Special Testimonies, Series A, no. 6.",577
To Brother J. N. Andrews And Sister H. N. Smith.,1860,40 p.,,578
To Conference Officers.,,,"SEE Elmshaven, Sanitarium, CA.",579
To Conference Officers And Managers Of Our School.,1901,4 p.,,580
To Our Bookmen.,1913,7 p.,,581
To The Leading Men Of Our Churches.,1898?,7 p.,,582
To Those In Charge Of The Colored Orphanage Enterprise.,c1909,4 p.,,583
To Whom It May Concern.,1869,8 p.,,584
Tower Of Tongues.,1913,47 p.,"NOTE: selected chapters from Patriarchs And Prophets; (20th Century Library Souvenir, 3) on some covers.",585
Triumph Of Gods Love.,1957,,NOTE: colporteur edition of The Great Controversy.,586
True Education In Our Church Schools.,,,"SEE Special Testimony To Battle Creek Church, 1898.",587
True Higher Education.,1896,,"NOTE: Special Testimonies, Series A, no. 7.",588
True Temperance.,,,NOTE: from other published sources.,589
The Truth About Angels.,1996,314 p.,"NOTE: compilation; ""a behind-the-scenes view of supernatural beings involved in human life:- -T.p.",590
Truthful Message.,,,"SEE Special Testimony To Battle Creek Church, 1896.",591
Universe In Conflict.,1981,576 p.,NOTE: edition of The Great Controversy.,592
Unwise Use Of Money And The Spirit Of Speculation.,1911,39 p.,"NOTE: Special Testimonies, Series B, no. 17.",593
Upward Look.,1982,383 p.,NOTE: devotional book.,594
Value Of Camp Meeting.,,,NOTE: from Testimonies For The Church.,595
Victorious Life ; A Message To You.,1914,8 p.,"NOTE: from Testimonies To Ministers, pp. 416-420.",596
A View Of The Conflict.,1903,16 p.,"NOTE: (Bible Students' Library, no. 182).",597
View Of The Danger.,1904,,"NOTE: Special Testimonies, Series A, no. 12.",598
"Voice In Speech And Song, As Set Forth In The Writings Of Ellen G. White.",1988,480 p.,NOTE: compilation.,599
Warning And An Appeal.,1905,11 p.,"NOTE: Special Testimonies, Series B, no. 7.",600
Warning Repeated.,1905,,"NOTE: Special Testimonies, Series A, no. 12 and Series B, no. 7.",601
Way To Christ.,1893,16 p.,"NOTE: from Selected Messages, Bk. 1, pp. 320-339; (Bible Students' Library, no. 105).",602
We Have Seen His Star.,1951,70 p.,NOTE: selected from The Desire Of Ages.,603
Wedding Of Christianity And Paganism.,1911,44 p.,"NOTE: selected chapters from The Great Controversy; (20th Century Library Souvenir, 7) on some covers.",604
Welfare Ministry.,1952,349 p.,NOTE: compilation.,605
What Ellen G. White Says About Work For The Jewish People.,1976,,,606
What Must I Do To Be Saved.,1894,7 p.,"NOTE: article from Bible Echo, November 1, 1893 and Steps to Christ; (Apples Of Gold Library, no. 17).",607
What Shall We Teach?,,48 p.,"NOTE: ""selections from the Spirit of Prophecy regarding subjects that should be taught in... schools.""",608
What The Sale Of Christs Object Lessons Will Accomplish.,,8 p.,"NOTE: article from Advent Review and Sabbath Herald, June 17, 1902.",609
What To Do With Doubt.,1970,31 p.,NOTE: two chapters from Steps To Christ.,610
Why Be A Christian.,1970,32 p.,NOTE: two chapters from Steps To Christ.,611
Why Students Should Not Go To Battle Creek.,,,"NOTE: Special Testimonies, Series A, no. 12.",612
Will A Man Rob God?,,,"SEE Special Testimony To Battle Creek Church, 1896 or 1897.",613
William Miller: Herald Of The Blessed Hope.,1994,94 p.,NOTE: compilation.,614
With God At Dawn.,1949,367 p.,NOTE: devotional book.,615
Word To The Little Flock.,1847,30 p.,"NOTE: Contains articles written by James White, Joseph Bates, and Ellen G. White for Day-Dawn.",616
Words Of Counsel To Our Medical Missionaries.,1903,4 p.,"NOTE: also in Counsels On Health, pp. 369-372.",617
Words Of Encouragement To Self-Supporting Workers.,1909,32 p.,,618
Words Of Encouragement To Workers In The Home Missionary Field.,1904,39 p.,,619
Work Among The Jews.,1908?,12 p.,NOTE: at head of title: Selections From the Testimonies.,620
Work For This Time.,1905,7 p.,"NOTE: article from Advent Review and Sabbath Herald, April 20, 1905.",621
Work In Greater New York.,,,SEE Important Testimony.,622
Work Of Faith.,,,"NOTE: Special Testimonies, Series A, no. 1; also no. 1, 2nd ed.",623
Work Of The Hour.,,,SEE Our First Work.,624
Workers In Our College--Extracts From Previous Testimonies.,,,SEE Testimony For The Battle Creek Church.,625
Worker's Need.,1942,48 p.,NOTE: selected from Ministry Of Healing.,626
World That Then Was.,1913,63 p.,"NOTE: selected chapters from Patriarchs and Prophets; (20th Century Library Souvenir, 2) on some covers.",627
Writing And Sending Out Of The Testimonies To The Church.,1913,32 p.,NOTE: also includes: My Work And My Helpers; the work of W.C. White; copy of a portion of letter written to Elder G. I. Butler (1906).,628
Ye Shall receive Power.,1995,382 p.,NOTE: devotional book.,629
Your Home And Health.,1943,388 p.,NOTE: abridged from Ministry Of Healing.,630
Your Mind And Your Health.,1964,31 p.,NOTE: two chapters from Ministry Of Healing.,631
Youth Instructor Articles.,,,SEE Ellen G. White Youth Instructor Articles.,632
Children: Bouquets Of Hope For Their Salvation.,1998,112 p.,NOTE: compilation.,633
Daughters Of God: Messages Especially For Women.,1998,275 p.,NOTE: compilation.,634
Sabbath Joy: Celebrating God's Special Day.,1998,112 p.,NOTE: compilation.,635
Tithing: Faithful Stewardship.,1928?,16 p.,"NOTE: from Testimonies For The Church, vol. 9, pp. 245-252; with ""How To Pay Tithe"" by J. L. Shaw, treasurer of the General Conference, 1926-1936.",636
Peace: Quotations From The Writings Of Ellen G. White.,1997,143 p.,NOTE: compilation.,637
Praying For Others: Quotations From The Writings Of Ellen G. White.,1997,143 p.,NOTE: compilation.,638
Our Publication. SEE Address And Appeal To Seventh-day Adventist Churches Everywhere.,,,,639
Revival And Reformation.,198-?,24 p.,"NOTE: two chapters from Selected Messages, Book One.",640
Ellen White Comments On The Crisis Ahead.,2000,202 p.,NOTE: compilation.,641
True Education: An Adaption of Education.,2000,192 p.,"NOTE: an adaption of the book, Education.",642
Health And Healing: A Treatise On Medical Missionary Work In The Gospel.,,,SEE Medical Missionary.,643
Light Of The World.,1928,64 p.,NOTE: selected from Thoughts From The Mount Of Blessing.,644
On The Mountainside.,1938,63 p.,"NOTE: selected from Thoughts From The Mount Of Blessing; M.V. Bible Year award, 1938, Central Union Conference.",645
Christ Triumphant: Devotional Meditations On The Great Controversy Story.,1999,384 p.,"NOTE: compilation taken mostly from letters, sermons, and manuscripts; inclusive language edition.",646
Talents: Their Use And Improvement.,197-?,64 p.,"NOTE: compilation selected from Counsels To Teachers . . ., Christ Object Lessons, and Testimonies To The Church.",647
Call To Stand Apart: Challenging Young Adults To Make An Eternal Difference.,2002,120 p.,"NOTE: compilation; ""selections from the writings of Ellen G. White; a paraphrase.""",648
"Messiah: A Contemporary Adaptation Of The Classic Work On Jesus' Life, The Desire Of Ages.",2002,447 p.,NOTE: a modern paraphrase of Desire Of Ages.,649
Story Of Jesus: From The Manger To The Throne.,2003,141 p.,NOTE: adaption of Desire Of Ages for children.,650
