Code Number,Phrases,id
001-A,APOSTASY,1
004-A-1,BIBLE STUDY BY THE PIONEERS,2
004-A-2,"HEBREWS, AUTHORSHIP OF",3
004-A-3,"BIBLE, INSPIRATION OF",4
004-A-4,WILL THERE BE A TIME WHEN BIBLES WILL BE TAKEN FROM US?,5
004-B-1,ADAM,6
004-B-1-A,ADAM AS KING IN THE NEW EARTH,7
004-B-2,"BARTIMAEUS, HARMONY OF TIME DISCREPANCY",8
004-B-3,"HEROD, WHICH?",9
004-B-4,"JACOB, AGE OF",10
004-B-5,MARY'S RELATIONS OF VARIOUS,11
004-B-6,"MELCHISEDEK, IDENTITY OF",12
004-B-7,PAUL'S THORN IN THE FLESH,13
004-B-8,"SIMON'S HOUSE, FEAST AT--ONE OR TWO?",14
004-B-9,ANGELS AND MAN--RELATIVE STATUS OF,15
004-B-9-A,ANGELS AS SONS OF GOD GC 518,16
004-B-10,SATAN (SEE 4-B-10-A),17
004-B-10-A,DOES SATAN NOW HAVE ACCESS TO OTHER WORLDS?,18
004-B-10-B,CAN SATAN HEAL?,19
004-B-10-C,SATAN--COULD HE CARRY FOUR PARTS IN SINGING?,20
004-B-ll,"SCRIBE, IDENTITY OF, MATT. 8: 19,20",21
004-B-12,BROTHERS OF JESUS,22
004-B-13,EVE,23
004-B-14,"MOSES, RESURRECTION OF",24
004-B-15,"JOHN THE BAPTIST, LOCUSTS THE FOOD OF",25
004-C,CHRONOLOGY OF THE BIBLE,26
004-C-1,FORTY YEARS--TIME CALCULATIONS,27
004-C-2,TIME SETTING,28
004-C-3,CHRONOLOGY OF ABRAHAM'S MOVEMENTS--DISCREPANCY BETWEEN PP AND BIBLE,29
004-D-1,"ARK, PREDICTIONS OF BEING FOUND",30
004-D-2,BEAST--NUMBER OF--WORD TO THE LITTLE FLOCK,31
004-D-3,COUNCILS IN HEAVEN--PLAN OF SALVATION LAID,32
004-D-4,"DAILY, EGW RELATION TO CONTROVERSY OVER",33
004-D-5,"EMMAUS, DAY OF WALK TO",34
004-D-6,"GALATIANS, LAW IN",35
004-D-7,HUNDRED AND FORTY-FOUR THOUSAND,36
004-D-8,"KING OF THE NORTH, DID EGW IDENTIFY?",37
004-D-9,NEW JERUSALEM--WHEN WILL IT TOUCH THE EARTH?,38
004-D-10,"PROBATION, CLOSE OF",39
004-D-10-A,"PROBATION, CLOSE OF, WHAT KIND OF",40
004-D-10-B,PROBATION CLOSED FOR ENLIGHTENED AT LOUD CRY,41
004-D-10-C,DEATH DECREE COMES AFTER CLOSE OF PROBATION,42
004-D-ll,REV. 3:10--HOUR OF TEMPTATION,43
004-D-12,"REVELATION 7:9--""MULTITUDE""",44
004-D-13,ROMANS 12--EGW REGARDING READING DAILY,45
004-D-14,WAR--ARMAGEDDON,46
004-D-15,THIS GENERATION,47
004-D-16,TIME PERIODS IN HISTORY OF ISRAEL,48
004-D-17,REVELATION 12:17,49
004-D-18,PREDESTINATION,50
004-D-19,"""SONS OF GOD"" Job 1:6",51
004-D-20,ISAIAH 24:6--GC 657,52
004-D-21,RELATIONSHIP OF REVELATION 14 AND 18,53
004-D-22,YEAR-DAY PRINCIPLE OF PROPHETIC INTERPRETATION,54
004-D-23,PLAGUES--ISRAELITES EXEMPT FROM FOURTH ON,55
004-D-24,GOSPEL COMMISSION MATTHEW 28,56
004-D-25,A MORE SURE WORD OF PROPHECY,57
004-E-1,KING JAMES VERSION,58
004-E-2,REVISED VERSIONS,59
004-E-3,"""TRUE VERSION"" OF BIBLE",60
004-F-1,CREATING WORK,61
005-M-1,"SECOND COMING, SETTING TIME FOR",62
007-A,"BUSINESS AND FINANCE, MISC.",63
007-A-1,WILLS AND LEGACIES,64
007-A-2,SELF-SUPPORTING WORKERS,65
007-A-3,USURY--INTEREST ON LOANS,66
007-A-4,"BUSINESSMEN, TO CARRY BUSINESS INTERESTS OF THE CAUSE",67
007-B-2,COLPORTEURS--REMUNERATION BY SALARY OR COMMISSION?,68
007-C,CONTRACTS,69
007-D-1,"INSURANCE--PROPERTY, FIRE",70
007-D-2,"INSURANCE, LIFE",71
007-D-3,SOCIAL SECURITY,72
007-D-4,INSURANCE--MALPRACTICE,73
007-E,INVESTMENTS,74
007-E-1,"SELLING HOME, COUNSEL RE",75
007-E-2,BANKRUPTCY,76
007-F,PENSIONS AND GOVERNMENT AID,77
007-G-1,STOCKS AND BONDS--GET-RICH-QUICK SCHEMES,78
007-H,TRADE UNIONS--LABOR UNIONS,79
007-H-A,"BOYCOTTS AGAINST FARMERS, ETC.",80
007-I-1,GRAPES TO WINERIES,81
007-I-2,HOG RAISING,82
007-I-3,TOBACCO SELLING,83
007-I-4,PUBLISHING HOUSES PRINTING OUTSIDE LITERATURE,84
007-I-5,RAISING COFFEE,85
007-J-1,POULTRY RAISING,86
007-J-2,CATTLE RAISING,87
007-K-1,SOIL PREPARATION IN FARMING,88
007-K-2,SPRAYS AND INSECTICIDES,89
010-A-1,CIRCUS,90
010-B-1,"DRESS, MISC.",91
010-B-1-A,REFORM DRESS,92
010-B-2,ARTIFICIALS,93
010-B-3,"UNIFORMS, SCHOOL DRESS, CAPS AND GOWNS",94
010-B-4,"SLACKS, WEARING OF",95
010-B-5,HIGH HEELS,96
010-B-6,"""WASP WAISTS""--INHERITANCE OF PHYSICAL CHARACTERISTICS",97
010-B-7,CHRISTIAN STANDARDS,98
010-B-8,"DRESS, PANT SUITS",99
010-C-1,BOBBED HAIR,100
010-C-2,WOMEN PRAYING WITH HEAD UNCOVERED,101
010-D-1,"CHRISTMAS, OBSERVANCE AND GIFTS",102
010-E-1,WEDDING RING,103
010-E-3,ORNAMENTS,104
010-F-1,BILLIARDS,105
010-F,RECREATION,106
010-G,SPORTS AND AMUSEMENTS,107
010-G-1,MIXED BATHING,108
010-G-2,SKATING RINKS,109
010-G-3,BOWLING,110
010-G-4,"CHECKERS, CHESS, ETC.",111
010-G-5,"PICNICS, ""PICNICS, DONATIONS, SHOWS,"" USED IN 1T 288",112
010-G-6,"SOCIAL GATHERINGS, PROGRAMS, BLACKENED FACES AT",113
010-G-7,KARATE,114
010-G-8,GAMBLING,115
010-H,TELEVISION AND RADIO,116
010-I,THEATERS AND THEATER GOING,117
010-I-1,"DRAMA, PLAYS, THEATRICALS",118
010-J,"PICTURES, USE OF RELIGIOUS",119
010-J-1,IS PICTURE TAKING OR PHOTOGRAPHY A SPECIES OF IDOLATRY?,120
010-L-1,"READING, CHOICE OF",121
010-K,COSMETICS,122
013-A,"FRATERNAL ORDERS, JOINING",123
013-A-2,"SERVICE CLUBS, (C.C., LIONS, ETC.)",124
013-B,MILITARY SERVICE AND NON-COMBATANCY,125
013-B-1,"GERMANY, SITUATION IN, DURING WORLD WAR I",126
013-B-2,ISLAMIC WORLD,127
013-C,PARTNERSHIP WITH UNBELIEVERS,128
013-D,POLITICS AND VOTING,129
013-D-1,DID EGW VOTE?,130
013-D-2,SHOULD CHRISTIANS HOLD PUBLIC OFFICE?,131
013-E,W.C.T.U.,132
013-E-1,"TEMPERANCE, VOTING FOR, ON SABBATH, EXPERIENCE OF",133
013-F-1,LAWSUITS--GOING TO LAW WITH A BROTHER,134
013-F-2,SUNDAY LAWS,135
013-F-2-A,"IS THERE A CONTRADICTION RE ""MARK OF BEAST"" IN EV 234, 235?",136
013-F-2-B,MARK OF THE BEAST--REV 13,137
013-F-3,ANTICHRIST,138
013-F-4,SALUTING THE FLAG,139
013-H-1,BEARING ARMS AS A WATCHMAN OR POLICE,140
013-I,PRAYER AND BIBLE IN PUBLIC SCHOOLS,141
022-A,"DIET, MISC.",142
022-A-1,"COOKBOOK, DID EGW HAVE SPECIAL",143
022-A-2,MIXING FRUIT AND VEGETABLES AT SAME MEAL,144
022-A-2-A,FRUITS AND VEGETABLES,145
022-A-3,INFANTS SHOULD BE FED ONLY THREE TIMES A DAY. DID EGW ADVOCATE?,146
022-A-4,USE OF SWINE'S FLESH 1T 206,147
022-A-5,"DIET, MISC. AND COOKING",148
022-B,BAKING POWDER AND SODA,149
022-B-1,"GRAHAM GEMS, UNLEAVENED BREAD",150
022-C-1,CHEESE,151
022-C-2,ICE CREAM,152
022-C-3,MILK AND CREAM,153
022-C-4,BUTTER,154
022-C-5,DAIRY PRODUCTS,155
022-D-1,CHOCOLATE AND COCOA,156
022-D-2,SOFT DRINKS,157
022-D-3,TEA AND COFFEE,158
022-D-3-A,"TEA AND COFFEE, DID EGW USE?",159
022-D-4,CIDER AND APPLE JUICE,160
022-D-4-A,FRUIT JUICES,161
022-D-5,"CEREAL COFFEE OR CARMEL CEREAL, CDF 431,432",162
022-E-1,"FASTING, AND ""HEALTH REFORM A CONTINUAL FAST""",163
022-F-1,MEAT EATING,164
022-F-1-A,MEAT EATING AND TRANSLATION,165
022-F-1-B,"MINISTERS WHO USE FLESH FOODS, STATEMENT RE",166
022-F-1-C,MEAT EATING NOT A TEST OF FELLOWSHIP,167
022-F-2,MEAT SUBSTITUTES,168
022-F-3,"WHITE, E.G., ""ATE MEAT""--REPORT",169
022-F-4,ANTI-MEAT PLEDGE,170
022-F-5,MEAT PRESCRIBED BY SDA PHYSICIANS,171
022-F-5-A,MEAT SERVED IN SDA INSTITUTIONS,172
022-F-6-A,FISH--CLEAN AND UNCLEAN,173
022-G,NATURAL FOODS AND VEGETABLES,174
022-G-1,BREAD MAKING AND USE OF BREADS,175
022-G-2,"OLIVES, USE AND CURING OF",176
022-G-3,MUSHROOMS,177
022-G-4,"HONEY, SUGARS IN",178
022-H,OIL AND GREASE,179
022-I-1,PICKLES,180
022-I-3,SPICES,181
022-I-2,SALT,182
022-I-4,PEPPER,183
022-I-5,VINEGAR,184
022-J-1,VERMICELLI,185
022-J-2,DUCKS AND GEESE--ARE THEY CLEAN?,186
022-J-3,GELATIN,187
022-J-4,"SUGAR, USE OF",188
022-K,COOKING UTENSILS,189
025-A-1,FAITH AND WORKS,190
025-A-3-A,WEILAND AND SHORT--BACKGROUND OF,191
025-A-4,UNPARDONABLE SIN,192
025-A-5,SANCTIFICATION,193
025-A-6,JUDGMENT OF LIVING,194
022-A-7,RECONCILIATION,195
025-A-8,ORIGINAL SIN,196
025-B-1,"CRUCIFIXION, DAY OF",197
025-B-2,PRIESTHOOD OF CHRIST,198
025-B-3,DEITY DID NOT DIE,199
025-B-4,"CHRIST, NATURE AND DEITY OF",200
025-B-5,LAST MEDIATORIAL WORK OF CHRIST,201
025-B-6,"""BRIDE"" OF CHRIST",202
025-B-7,"CHRIST, THE JUDGE",203
025-B-8,VIRGIN BIRTH OF CHRIST,204
025-B-9,DID CHRIST AS A CHILD PERFORM MIRACLES?,205
025-B-10,DID JESUS PLAY GAMES?,206
025-B-ll,"HOW CHRIST COULD WORK ALL DAY, PRAY ALL NIGHT, STILL REFRESHED?",207
025-B-12,SCAR OF THE WOUND IN CHRIST'S SIDE THROUGH ETERNITY,208
025-B-13,"CHRIST, VARIOUS TITLES FOR",209
025-B-14,"ATONEMENT--IF ISRAEL HAD ACCEPTED CHRIST, WOULD HE HAVE DIED ON CROSS",210
025-B-14,CHRIST--FOR HOW FEW WOULD CHRIST HAVE DIED?,211
025-C,"DOCTRINES, HOW ESTABLISHED",212
025-C-1,HOW TO MEET CONTROVERTED POINT OF DOCTRINE,213
025-C-2,QUESTIONS ON DOCTRINE--CRITICISM OF,214
025-D-1,"PRAYER, ""PRAYER IS THE ANSWER...""",215
025-D-1-A,"PRAYER, ATTITUDE IN",216
025-D-1-B,PRAYER--PROPER LANGUAGE OF ADDRESS,217
025-D-2,PUBLIC PRAYER NOT TIME TO PRAY FOR FAMILIES (1T 145),218
025-D-3,PRAY TO JESUS AS WELL AS GOD,219
025-D-4,INTERCESSORY PRAYER,220
025-E-1,"""TIME OF THE END""",221
025-E-2,TIME OF TROUBLE--ONE OR TWO,222
025-E-3,UNFULFILLED PROPHECY,223
025-E-4,NATIONS IN PROPHECY,224
025-E-5,"SATAN, APPEARANCE OF AS CHRIST",225
025-E-6,PUNISHMENT OF THE WICKED,226
025-F-1,SPIRITUALISM,227
025-F-2,"""EMMANUEL MOVEMENT""--EV 606",228
025-G,"HOLY SPIRIT, CONSTANT HELP",229
025-G-1,"HOLY SPIRIT, PERSONALITY OF",230
025-H-1,RESURRECTION,231
025-H-2,RESURRECTION OF CHILDREN,232
025-H-3,HEAVEN,233
025-H-3-A,"HEAVEN, VACANCIES IN FILLED BY REDEEMED",234
025-H-3-B,NEW EARTH POPULATED BY PREDETERMINED NUMBER OF PEOPLE,235
025-H-3-C,FAMILY LIFE IN NEW EARTH,236
025-H-3-D,"HEAVEN--CONDITIONS OF FUTURE LIFE, FLOWERS FADING, ETC.",237
025-I-1,BAPTISM,238
025-I-2,COMMUNION,239
025-I-3,FOOTWASHING,240
025-I-4,REBAPTISM,241
025-I-5,"BAPTISMAL SERVICE, PLACE OF",242
025-I-6,"BAPTISMAL CERTIFICATES, WHY WERE THEY CHANGED?",243
025-I-7,"BAPTISMAL ROBES, COLOR OF?",244
025-J-1,SABBATH OBSERVANCE,245
025-J-1-A,DAIRY FARMING AND POULTRY ON SABBATH,246
025-J-1-B,SABBATH OBSERVANCE IN THE FAR NORTH,247
025-J-1-C,SABBATH OBSERVANCE FOR A FOREST RANGER AND POLICE,248
025-J-1-D,SABBATH OBSERVANCE IN EUROPE,249
025-J-1-E,COOKING ON SABBATH,250
025-J-1-G,SABBATH NURSING,251
025-J-1-H,SELLING BIBLES AND SDA LITERATURE ON SABBATH,252
025-J-1-I,"SABBATH, BATHING ON",253
025-J-2,"SABBATH, COLLECTIONS ON",254
025-J-3,"SABBATH, TIME FOR BEGINNING AND ENDING",255
025-J-4,"SABBATH ""NOT A TEST OF PAST AGES""",256
025-J-4-A,"SABBATH, THE LAST TEST",257
025-J-5,"SABBATH FEES, TO BE USED FOR MISSIONARY WORK",258
025-J-6,SABBATH FUNERALS,259
025-J-7,"SABBATH TRUTH, WHY NOT GIVEN TO EGW IN FIRST VISION",260
025-J-8,"SABBATH INSTITUTION, PRIOR TO CREATION OF WORLD",261
025-J-9,HOW THE SAME CAME TO RACHEL PRESTON,262
025-K-1,DO ALL HAVE SPIRIT OF PROPHECY JOEL 2:28,263
025-K-1-A,"""MESSAGES"" AND ""IMPRESSIONS""",264
025-K-2,"TONGUES, SPEAKING IN",265
025-K-2-A,ALW REVIEW ARTICLES ON TONGUES,266
025-K-3,"TONGUES, DID EGW SPEAK IN?",267
025-K-4,"VISIONS, DID GABRIEL GIVE?",268
025-K-5,"SPIRIT OF PROPHECY, TEST OF FELLOWSHIP",269
025-L,TITHE AND TITHE PAYING,270
025-L-1,"TITHE, USE OF",271
025-L-2,TITHE PAYING BY EGW,272
025-L-2-A,VIRGINIA LEE TRACT ON TITHE EGW USE OF,273
025-L-3,"TITHE, SECOND",274
025-L-4,"TITHE, IN A DIVIDED HOME",275
025-L-5,TITHE AND FIRST FRUITS,276
025-M,SECOND COMING,277
025-M-A,"SECOND COMING, AND THE VOICE OF GOD",278
025-M-1,"SECOND COMING, TIME SETTING",279
025-M-2,DAY AND HOUR OF CHRIST'S RETURN,280
025-M-3,"SECOND COMING, CHRIST COMES FROM THE EAST",281
025-N,MILLENNIUM,282
025-0-1,TRINITY,283
025-P-1,BENJAMIN GREGORY,284
025-P-2,M L ANDREASEN,285
025-Q-1,CREATION AND AGE OF EARTH,286
025-R,SINLESS OR PERFECTION,287
025-S-1,"COVENANTS, OLD AND NEW",288
016-A,"BAZAARS, SALES, & CHURCH SUPPERS",289
016-A-1,KITCHEN IN CHURCH,290
016-A-2,SERVING MEAT AT DORCAS FOOD SALES,291
016-B,BLACK MEMBERS AND WORK FOR,292
016-B-1,BLACK BELIEVERS JOINING WHITE CHURCHES IN LARGE GROUPS,293
016-C-1,MINNEAPOLIS--REJECTION OF RIGHTEOUSNESS BY FAITH,294
016-C-1-A,A T JONES AND WAGGONER,295
016-C-1-B,"WIELAND AND SHORT--""1888 RE-EXAMINED""",296
016-C-2,GENERAL CONFERENCE 1909--WORK WHICH SHOULD HAVE BEEN DONE AT (2SM 400),297
016-D,"DISCIPLINE, CHURCH",298
016-D-1,MORAL INDISCRETION BY MAN AT HEAD OF MISSION,299
016-E,FANATICISM,300
016-F-1,"GC, THE ""VOICE OF GOD""",301
016-F-2,REORGANIZATION OF 1901,302
016-F-3,CONSTITUTION OF THE GC,303
016-G,"MEMBERSHIP, CHURCH",304
016-H,MINISTERS,305
016-H-1,MINISTER'S FAMILY,306
016-H-2,SHOULD MINISTER'S WIFE HOLD CHURCH OFFICE?,307
016-H-3,MINISTERIAL SEMINAR STUDENTS PREACHING IN CHURCHES,308
016-I,"MUSIC, CHURCH",309
016-I-1,"MUSIC, CHURCH",310
016-I-2,CHOIR ROBES,311
016-I-3,SHOULD WE HIRE WORLDLY CHOIR DIRECTORS FOR OUR CHOIRS?,312
016-J-1,LOCATION OF CONFERENCE OFFICES,313
016-J-2,CHURCH OFFICERS--SHOULD DEACONS AND ELDERS BE MARRIED?,314
016-K-1,"PULPIT, SACREDNESS OF",315
016-K-2,"ARTIFICIAL FLOWERS, USE OF IN CHURCH DECORATIONS",316
016-K-3,CHILDREN ATTENDING CHURCH SERVICES,317
016-K-4,ORDER OF CHURCH SERVICES,318
016-K-5,"WOMEN, KEEPING SILENCE IN MEETINGS",319
016-K-6,"OFFERINGS, NUMBER OF ON SABBATH",320
016-L,"ORGANIZATION, CHURCH",321
016-L-1,CHURCH NOT TO BE INDEPENDENT ATOMS,322
016-L-2,"SEVENTH-DAY ADVENTISTS, HISTORY OF",323
016-L-3,SHOULD WE HAVE CONFERENCE OR GC PRESIDENTS?,324
016-L-4,IMPORTANCE OF ATTENDING BUSINESS MEETINGS AT CAMP MEETING,325
016-L-5,"SELF-SUPPORTING INSTITUTIONS, WORK OF",326
016-L-6,"WOMEN, ORDINATION OF",327
016-M-1,"MISTAKES OF BRETHREN, CRITICIZING",328
016-M-2,CHURCHES--CONTACT OF YOUNG PEOPLE WITH,329
016-N-1,"WEDDINGS, CHURCH",330
016-N-1-A,USE OF CANDLES IN WEDDINGS,331
016-O-1,CHURCH ARCHITECTURE,332
016-O-2,"CHURCH BUILDINGS, USE OF",333
016-O-3,RENTING SDA CHURCHES TO OTHER CHURCHES,334
016-P-1,ETERNITY AND NEW HOPE ARTICLES BY MARTIN,335
016-Q,"THE BLIND, WORK FOR",336
016-R,"USING ""BROTHER,"" ""SISTER,"" OR ""MR."" AND ""MRS.""",337
016-R-1,"""FATHER,"" USE OF TERM AS TITLE",338
016-S-1,CHURCH WILL TRIUMPH--NOT FALL,339
016-S-2,REMNANT CHURCH NOT BABYLON,340
016-S-3,LAODICEAN CHURCH,341
016-T-1,COUNSEL REGARDING HOMES,342
016-U,RAISING FUNDS AT CAMP MEETINGS,343
016-U-1,FUND RAISING FOR CHURCH,344
016-U-2,"CAMP MEETINGS--WHY NO LONGER CONDUCTED BY ""BLUEPRINT""",345
016-V,DEMON POSSESSION,346
018-A-1,"URIAH SMITH, MISCELLANEOUS",347
018-A-2,"WILLIAM FOY, HAZEN FOSS",348
018-A-2-A,WHAT RELATION IS MARY FOSS TO HAZEN FOSS?,349
018-A-3,JOSEPH BATES,350
018-A-4,J. E. FULTON,351
018-A-5,JOSEPH WOLFF,352
018-A-6,HIRAM EDSON,353
018-A-7,JOSHUA V. HIMES,354
018-A-8,JOHN NEVINS ANDREWS,355
018-A-9,CHARLES FITCH,356
018-A-10,JOHN HARVEY KELLOGG,357
018-A-ll,"EDSON WHITE, MISCELLANEOUS",358
018-A-12,J. N. LOUGHBOROUGH,359
018-A-13,LUTHER WARREN,360
018-A-14,PEREGRINE WHITE,361
018-A-15,ARTHUR G. DANIELLS,362
018-A-16,ELDER R. M. KILGORE,363
018-A-17,SIDNEY BROWNSBERGER,364
018-A-018,DR. J. F. BYINGTON,365
018-B-1,BATTLE CREEK SANITARIUM,366
018-B-2,"BERRIEN SPRINGS, SANITARIUM AT",367
018-B-3,OXEN SOLD TO BUY PRESS AT BATTLE CREEK,368
018-B-4,"NEW ENGLAND, HISTORICAL PLACES",369
018-B-5,BATTLE CREEK TABERNACLE,370
018-B-6,PACIFIC UNION COLLEGE,371
018-B-7,PARADISE VALLEY SANITARIUM,372
018-B-8,BATTLE CREEK COLLEGE,373
018-B-9,"AVONDALE COLLEGE, AUSTRALIA",374
018-B-10,ELMSHAVEN -- CALIFORNIA,375
018-B-ll,"REVIEW AND HERALD, PUB HOUSE BATTLE CREEK",376
018-B-12,"PACIFIC PRESS, MOUNTAIN VIEW",377
018-B-13,"RIVERSIDE, CA CHURCH",378
018-B-14,"BUCK'S BRIDGE CHURCH AND SCHOOL, FIRST SDA",379
018-B-15,"WRIGHT, MICHIGAN",380
018-B-16,"WASHINGTON, D. C.",381
018-C-1,"JOSEPH BATES' DOCUMENT--""THE OPENING HEAVENS""",382
018-C-2,G. W. AMADON DIARY,383
018-C-3,CROSIER ARTICLE ON SANCTUARY,384
018-C-4,MUSIC OF THE PIONEERS,385
018-C-5,"""STATEMENT OF FUNDAMENTAL PRINCIPLES"" SIGNS, VOL. 1, P.3",386
018-C-6,MINNEAPOLIS AND YEARS FOLLOWING,387
018-D,"PIONEERS, EARLY EDUCATION OF",388
019-A,"""AGE TO COME""--EARLY EXPERIENCES WITH",389
019-B-1,"CANRIGHT, D. M.",390
019-B-2,BALLENGER,391
019-B-2-A,BALLENGER PAMPHLET-- RESPONSE TO URGENT TESTIMONY FROM EGW,392
019-B-3,"BACHAND, A.J.",393
019-B-4,"ARMSTRONG, HERBERT W.",394
019-B-5,J. A. HIEBERT,395
019-B-6,E. B. JONES,396
019-B-7,F. E. BELDEN,397
019-B-8,LOUIS WERE'S ACTIVITIES IN AUSTRALIA,398
019-B-9,"SHERMAN NAGEL, SR.",399
019-C,OFFSHOOT MOVEMENTS,400
019-C-1,"SHEPHERD'S ROD, MISC.",401
019-C-1-A,LOUD CRY PAMPHLET OF TM 41,402
019-C-2,"REFORM MOVEMENT, HISTORY OF",403
019-C-2-A,THE PEOPLE'S CHURCH,404
019-C-3,CHURCH OF GOD ADVENTIST,405
019-C-4,SANCTUARY AWAKENING--R. BRINSMEAD,406
019-D,"PROPHETS, CLAIMS OF--EGW STATEMENTS RE",407
019-E,FALSE PROPHETS,408
019-E-1,"ROWEN, MRS. MARGARET",409
019-E-2,MRS. SANDEL,410
019-E-3,HOW TO HELP THOSE WHO THINK THEY ARE PROPHETS,411
019-E-4,"FALSE PROPHET IN BRAZIL, S A",412
019-F,SDA CHURCH--IS THERE A CALL OUT OF?,413
019-G,"TESTIMONIES, WARFARE AGAINST (FALSE CHARGES, ETC.)",414
019-H-1,MOKELUMNE HILL RESEARCH CENTER PUBLISHING OF EGW BOOKS,415
020-A-1,AL HUDSON,416
020-A-2,"ANDERSON, B.T., PRINTING OF EGW MATERIALS",417
020-A-3,"GEOFFREY PAXTON, SHAKING OF ADVENTISM",418
020-A-4,"""JOHN HUSS CHAPTER MANUSCRIPT,""--MCADAMS STUDY",419
